Организация,Статья движения денежных средств,Дата,Начальный остаток,Поступление,Списание,Конечный остаток,Изменение
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-21,0.0,7500.0,0.0,7500.0,7500.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-22,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-23,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-24,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-25,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-26,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-27,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-28,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-29,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-06-30,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-01,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-02,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-03,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-04,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-05,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-06,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-07,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-08,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-09,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-10,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-11,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-12,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-13,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-14,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-15,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-16,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-17,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-18,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-19,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-20,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-21,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-22,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-23,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-24,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-25,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-26,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-27,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-28,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-29,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-30,7500.0,0.0,0.0,7500.0,0.0
"ООО ""Galaxy Data""",Внутреннее перемещение денежных средств,2021-07-31,7500.0,0.0,0.0,7500.0,0.0
