Организация,Банковский счет,Дата,Начальный остаток,Поступление,Списание,Конечный остаток,Изменение
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-21,0.0,16965.0,0.0,16965.0,16965.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-22,16965.0,0.0,0.0,16965.0,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-23,16965.0,47677.5,0.0,64642.5,47677.5
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-24,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-25,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-26,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-27,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-28,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-29,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-30,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-10-31,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-01,64642.5,0.0,0.0,64642.5,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-02,64642.5,0.156,0.0,64642.656,0.156
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-03,64642.656,97500.0,0.0,162142.65600000002,97500.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-04,162142.65600000002,0.0,0.0,162142.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-05,162142.65600000002,30030.0,0.0,192172.65600000002,30030.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-06,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-07,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-08,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-09,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-10,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-11,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-12,192172.65600000002,0.0,97500.0,94672.65600000002,-97500.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-13,94672.65600000002,0.0,0.0,94672.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-14,94672.65600000002,0.0,0.0,94672.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-15,94672.65600000002,0.0,0.0,94672.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-16,94672.65600000002,97500.0,0.0,192172.65600000002,97500.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-17,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-18,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-19,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-20,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-21,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-22,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-23,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-24,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-25,192172.65600000002,0.0,0.0,192172.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-26,192172.65600000002,0.0,107250.0,84922.65600000002,-107250.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-27,84922.65600000002,0.0,0.0,84922.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-28,84922.65600000002,0.0,0.0,84922.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-29,84922.65600000002,0.0,0.0,84922.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-11-30,84922.65600000002,0.0,0.0,84922.65600000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-01,84922.65600000002,1.2285000000000001,0.0,84923.88450000001,1.2285000000000001
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-02,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-03,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-04,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-05,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-06,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-07,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-08,84923.88450000001,0.0,0.0,84923.88450000001,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-09,84923.88450000001,0.0,84922.5,1.3845000000146683,-84922.5
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-10,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-11,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-12,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-13,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-14,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-15,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-16,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-17,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-18,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-19,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-20,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-21,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-22,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-23,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-24,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-25,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-26,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-27,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-28,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-29,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-30,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2020-12-31,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-01,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-02,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-03,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-04,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-05,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-06,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-07,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-08,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-09,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-10,1.3845000000146683,0.0,0.0,1.3845000000146683,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-11,1.3845000000146683,0.21450000000000002,0.0,1.5990000000146685,0.21450000000000002
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-12,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-13,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-14,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-15,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-16,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-17,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-18,1.5990000000146685,0.0,0.0,1.5990000000146685,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-19,1.5990000000146685,46800.0,0.0,46801.59900000002,46800.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-20,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-21,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-22,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-23,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-24,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-25,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-26,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-27,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-28,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-29,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-30,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-01-31,46801.59900000002,0.0,0.0,46801.59900000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-01,46801.59900000002,0.1365,0.0,46801.73550000002,0.1365
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-02,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-03,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-04,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-05,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-06,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-07,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-08,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-09,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-10,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-11,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-12,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-13,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-14,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-15,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-16,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-17,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-18,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-19,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-20,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-21,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-22,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-23,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-24,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-25,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-26,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-27,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-02-28,46801.73550000002,0.0,0.0,46801.73550000002,0.0
"ООО ""Galaxy Data""","10702510210570001479, Банк 1",2021-03-01,46801.73550000002,0.37050000000000005,0.0,46802.106000000014,0.37050000000000005
